cell_id,dataset,n_train,method,seed,tuning_budget,status,n_requested,metric_tstr_auroc_mean,metric_tstr_acc_mean,metric_tstr_f1_mean,metric_trtr_auroc_mean,metric_trtr_acc_mean,metric_trtr_f1_mean,metric_majority_auroc,metric_c2st_auc,metric_ks_mean,metric_tvd_mean,metric_corr_dist,metric_dcr_median,metric_dcr_rate,metric_nndr_median,metric_mia_auc,lr_tstr_auroc,lr_tstr_acc,lr_tstr_f1,lr_trtr_auroc,lr_trtr_acc,lr_trtr_f1,rf_tstr_auroc,rf_tstr_acc,rf_tstr_f1,rf_trtr_auroc,rf_trtr_acc,rf_trtr_f1,xgb_tstr_auroc,xgb_tstr_acc,xgb_tstr_f1,xgb_trtr_auroc,xgb_trtr_acc,xgb_trtr_f1,cost_fit_seconds,cost_sample_seconds,cost_peak_rss_mb,cost_eval_seconds,cost_total_seconds,git_sha,code_sha,with_replacement,error_head,file
adult__n10000__copula__seed0__budget0,adult,10000,copula,0,0,ok,10000,0.8176553912768343,0.7721480116689697,0.1290568006980466,0.9087582669569345,0.8539331593223808,0.671489218787463,0.5,0.9991506832488869,0.32738888632990426,0.015005469403074194,2.530633586646652,2.7833886588309613,0.5941,0.9687986751279812,0.5033004913250423,0.8420219351643591,0.7795178873023184,0.19866071428571427,0.9045862910381544,0.8455396898510671,0.6487430167597765,0.8017474102886857,0.7678489175495163,0.08695652173913043,0.9013472818348776,0.8509135575003839,0.668034188034188,0.8091968283774582,0.7690772301550745,0.1015531660692951,0.9203412279977714,0.8653462306156917,0.6976904515684247,0.9453625419992022,0.13417204201687127,419.296875,7.915050790994428,10.853690040996298,e70c1c0d7aaca632aeb84987b35e9fdd26a1e175,12343a9a8f341a19,,,adult__n10000__copula__seed0__budget0.json
adult__n10000__copula__seed1__budget0,adult,10000,copula,1,0,ok,10000,0.8082357247752489,0.7632427452786734,0.058563811600071736,0.9084727495649423,0.8529095654844158,0.6665912498321201,0.5,0.9992914632273914,0.3566538256819694,0.015073444563863725,2.3329647532724733,2.8761199938232425,0.5404,0.9713142568830717,0.49789600798403194,0.8373429149212768,0.7669276830953478,0.0855421686746988,0.9044850498338871,0.8455396898510671,0.6422475106685633,0.7963771125234725,0.7615538154460311,0.026332288401253918,0.900570819834506,0.8487640104406572,0.6623243057936236,0.790987146880997,0.7612467372946415,0.0638169777242625,0.9203623790264337,0.8644249961615231,0.6952019330341733,0.9486553749884479,0.1447379169985652,417.265625,7.423260667012073,10.365408750018105,e70c1c0d7aaca632aeb84987b35e9fdd26a1e175,12343a9a8f341a19,,,adult__n10000__copula__seed1__budget0.json
adult__n10000__copula__seed2__budget0,adult,10000,copula,2,0,ok,10000,0.7652474842313062,0.7714314959823941,0.1475962240527242,0.9085754094357661,0.8552638313117354,0.6734439810163638,0.5,0.9989227851988332,0.28070056041762625,0.012860825357831344,2.6118701165662768,2.256277997793141,0.5952,0.9705571842491705,0.4990252034392753,0.7934634293555642,0.7747581759557808,0.18815716657443277,0.9042160190668784,0.8483033932135728,0.6535764375876578,0.7284110547656879,0.7666206049439582,0.07766990291262135,0.89995963248798,0.8499923230462153,0.6673476336397685,0.7738679685726666,0.7729157070474436,0.17696160267111852,0.9215505767524401,0.8674957776754184,0.699407871821665,1.0254544999916106,0.12996795802609995,417.5,8.499519666016567,11.497059749963228,e70c1c0d7aaca632aeb84987b35e9fdd26a1e175,12343a9a8f341a19,,,adult__n10000__copula__seed2__budget0.json
adult__n10000__copula__seed3__budget0,adult,10000,copula,3,0,ok,10000,0.8203018277584038,0.7740928399611035,0.15357316311273975,0.9094160338554026,0.8537284405547879,0.6733515254989334,0.5,0.9992665284814986,0.28042004452633196,0.013663043144480282,2.269580783288373,2.8076891010098883,0.6076,0.9671191819047072,0.5054981882389068,0.8534504550050557,0.7773683402425917,0.1807909604519774,0.903770815707476,0.8493781667434362,0.6575916230366492,0.8140312570933328,0.7695378473821588,0.10601548540798095,0.9011546011225522,0.8456932289267619,0.6596681341009143,0.7934237711768226,0.7753723322585598,0.17391304347826086,0.9233226847361795,0.8661139259941655,0.7027948193592365,0.9959608750068583,0.1275737090036273,418.4375,8.400218791968655,11.44295920804143,e70c1c0d7aaca632aeb84987b35e9fdd26a1e175,12343a9a8f341a19,,,adult__n10000__copula__seed3__budget0.json
adult__n10000__copula__seed4__budget0,adult,10000,copula,4,0,ok,10000,0.7468754298989566,0.7624750499001997,0.037489990118378225,0.9097902179071831,0.8561850657659041,0.6734265990215084,0.5,0.9994008137571011,0.3189612339423717,0.014496813211184472,2.5435519937636224,2.8462513812895134,0.5927,0.9707602988409143,0.4998846384154767,0.8103669703472896,0.7664670658682635,0.0809667673716012,0.9044588689874331,0.8486104713649624,0.6486101211689237,0.7172731681145663,0.7600184246890834,0.01013299556681444,0.9016719630218115,0.8504529402732995,0.6643694004135079,0.7129861512350137,0.760939659143252,0.021370207416719043,0.9232398217123047,0.8694917856594503,0.7073002754820936,1.000783582974691,0.1352303340099752,419.859375,7.799640999990515,10.783217667019926,e70c1c0d7aaca632aeb84987b35e9fdd26a1e175,12343a9a8f341a19,,,adult__n10000__copula__seed4__budget0.json
adult__n10000__ctgan__seed0__budget20,adult,10000,ctgan,0,20,ok,10000,0.8813336153470489,0.8262449460054251,0.6294328575191692,0.9087582669569345,0.8539331593223808,0.671489218787463,0.5,0.9466595808383236,0.118398679563949,0.061554020164798606,1.029894609800064,1.7077878038021017,0.6043,0.9500536383969685,0.5009791801013358,0.878145312725697,0.8246583755565792,0.6213527851458885,0.9045862910381544,0.8455396898510671,0.6487430167597765,0.8809475660840677,0.8263473053892215,0.630995106035889,0.9013472818348776,0.8509135575003839,0.668034188034188,0.8849079672313818,0.8277291570704745,0.6359506813757301,0.9203412279977714,0.8653462306156917,0.6976904515684247,162.94487000000663,0.11321483296342194,553.796875,7.12986191600794,173.01525341696106,c5dfd842e24015548f56e2ef26756d7d7f59ac72,12343a9a8f341a19,,,adult__n10000__ctgan__seed0__budget20.json
adult__n10000__ctgan__seed1__budget20,adult,10000,ctgan,1,20,ok,10000,0.8823803118315071,0.8335124622549772,0.6465233139308683,0.9084727495649423,0.8529095654844158,0.6665912498321201,0.5,0.9739176723476125,0.1974423972567685,0.0888043417438627,1.0864025888769815,1.8188245928808993,0.6081,0.9539712861965775,0.5021266927683096,0.8849197034728957,0.8350990327038231,0.6517509727626459,0.9044850498338871,0.8455396898510671,0.6422475106685633,0.880029237428035,0.8347919545524336,0.6458196181698486,0.900570819834506,0.8487640104406572,0.6623243057936236,0.8821919945935908,0.8306463995086749,0.6419993508601104,0.9203623790264337,0.8644249961615231,0.6952019330341733,159.73649179097265,0.10977066698251292,557.65625,6.7260578330024146,169.33058270800393,2a20a957df9e45fb530f60c8fc6dc1d1fb3c8c1f,12343a9a8f341a19,,,adult__n10000__ctgan__seed1__budget20.json
adult__n10000__ctgan__seed2__budget20,adult,10000,ctgan,2,20,ok,10000,0.877375385189465,0.8261425866216285,0.6209257065512226,0.9085754094357661,0.8552638313117354,0.6734439810163638,0.5,0.9610043298019344,0.16387496545370797,0.08575671051060271,1.105631717537528,1.8070646800668433,0.6196,0.9527842053563371,0.506686058651927,0.8719109180578196,0.822201750345463,0.6132264529058116,0.9042160190668784,0.8483033932135728,0.6535764375876578,0.8795599167371702,0.8295716259788116,0.6257585974376264,0.89995963248798,0.8499923230462153,0.6673476336397685,0.8806553207734054,0.826654383540611,0.6237920693102299,0.9215505767524401,0.8674957776754184,0.699407871821665,160.0462728330167,0.10874450003029779,554.015625,6.782602290972136,169.5547786669922,2a20a957df9e45fb530f60c8fc6dc1d1fb3c8c1f,12343a9a8f341a19,,,adult__n10000__ctgan__seed2__budget20.json
adult__n10000__ctgan__seed3__budget20,adult,10000,ctgan,3,20,ok,10000,0.8741325928753705,0.8274732586109831,0.5905621708197571,0.9094160338554026,0.8537284405547879,0.6733515254989334,0.5,0.980521188392446,0.22089826500844464,0.07811746933483461,0.9798564404772454,1.796080035777847,0.6102,0.9523509684044333,0.5098877475817595,0.8725552506138957,0.8238906801781053,0.5988107729975516,0.903770815707476,0.8493781667434362,0.6575916230366492,0.8774080575101628,0.8292645478274221,0.5950473415877641,0.9011546011225522,0.8456932289267619,0.6596681341009143,0.8724344705020532,0.8292645478274221,0.577828397873956,0.9233226847361795,0.8661139259941655,0.7027948193592365,163.1586802919628,0.11589737504255027,554.859375,7.3591083330102265,173.36228500003926,2a20a957df9e45fb530f60c8fc6dc1d1fb3c8c1f,12343a9a8f341a19,,,adult__n10000__ctgan__seed3__budget20.json
adult__n10000__ctgan__seed4__budget20,adult,10000,ctgan,4,20,ok,10000,0.875059046621682,0.8277803367623727,0.6029260353940648,0.9097902179071831,0.8561850657659041,0.6734265990215084,0.5,0.9568851374174728,0.15861539741030758,0.08728345189961956,1.1551710986815018,1.7506027325932547,0.5967,0.9530455550661073,0.5031006678949792,0.8829864478652937,0.8360202671579917,0.6257883672039243,0.9044588689874331,0.8486104713649624,0.6486101211689237,0.8684899326262356,0.8234300629510211,0.5898716119828816,0.9016719630218115,0.8504529402732995,0.6643694004135079,0.8737007593735169,0.8238906801781053,0.5931181269953885,0.9232398217123047,0.8694917856594503,0.7073002754820936,161.49536887498107,0.11012433399446309,506.125,7.188368916045874,171.66162562498357,2a20a957df9e45fb530f60c8fc6dc1d1fb3c8c1f,12343a9a8f341a19,,,adult__n10000__ctgan__seed4__budget20.json
