cell_id,dataset,n_train,method,seed,tuning_budget,status,metric,value
adult__n10000__copula__seed0__budget0,adult,10000,copula,0,0,ok,metric_tstr_auroc_mean,0.8176553912768343
adult__n10000__copula__seed1__budget0,adult,10000,copula,1,0,ok,metric_tstr_auroc_mean,0.8082357247752489
adult__n10000__copula__seed2__budget0,adult,10000,copula,2,0,ok,metric_tstr_auroc_mean,0.7652474842313062
adult__n10000__copula__seed3__budget0,adult,10000,copula,3,0,ok,metric_tstr_auroc_mean,0.8203018277584038
adult__n10000__copula__seed4__budget0,adult,10000,copula,4,0,ok,metric_tstr_auroc_mean,0.7468754298989566
adult__n10000__ctgan__seed0__budget20,adult,10000,ctgan,0,20,ok,metric_tstr_auroc_mean,0.8813336153470489
adult__n10000__ctgan__seed1__budget20,adult,10000,ctgan,1,20,ok,metric_tstr_auroc_mean,0.8823803118315071
adult__n10000__ctgan__seed2__budget20,adult,10000,ctgan,2,20,ok,metric_tstr_auroc_mean,0.877375385189465
adult__n10000__ctgan__seed3__budget20,adult,10000,ctgan,3,20,ok,metric_tstr_auroc_mean,0.8741325928753705
adult__n10000__ctgan__seed4__budget20,adult,10000,ctgan,4,20,ok,metric_tstr_auroc_mean,0.875059046621682
adult__n10000__marginals__seed0__budget0,adult,10000,marginals,0,0,ok,metric_tstr_auroc_mean,0.4466495394922378
adult__n10000__marginals__seed1__budget0,adult,10000,marginals,1,0,ok,metric_tstr_auroc_mean,0.5235974331593103
adult__n10000__marginals__seed2__budget0,adult,10000,marginals,2,0,ok,metric_tstr_auroc_mean,0.4812933123198724
adult__n10000__marginals__seed3__budget0,adult,10000,marginals,3,0,ok,metric_tstr_auroc_mean,0.5741490580054064
adult__n10000__marginals__seed4__budget0,adult,10000,marginals,4,0,ok,metric_tstr_auroc_mean,0.5259323863519119
adult__n10000__real_subsample__seed0__budget0,adult,10000,real_subsample,0,0,ok,metric_tstr_auroc_mean,0.9083103337391579
adult__n10000__real_subsample__seed1__budget0,adult,10000,real_subsample,1,0,ok,metric_tstr_auroc_mean,0.9080699772325515
adult__n10000__real_subsample__seed2__budget0,adult,10000,real_subsample,2,0,ok,metric_tstr_auroc_mean,0.908079843413604
adult__n10000__real_subsample__seed3__budget0,adult,10000,real_subsample,3,0,ok,metric_tstr_auroc_mean,0.909107645838922
adult__n10000__real_subsample__seed4__budget0,adult,10000,real_subsample,4,0,ok,metric_tstr_auroc_mean,0.9096883533494288
adult__n10000__smote__seed0__budget20,adult,10000,smote,0,20,ok,metric_tstr_auroc_mean,0.9008119716541825
adult__n10000__smote__seed1__budget20,adult,10000,smote,1,20,ok,metric_tstr_auroc_mean,0.8982193800169208
adult__n10000__smote__seed2__budget20,adult,10000,smote,2,20,ok,metric_tstr_auroc_mean,0.8957292977858485
adult__n10000__smote__seed3__budget20,adult,10000,smote,3,20,ok,metric_tstr_auroc_mean,0.8966682400968476
adult__n10000__smote__seed4__budget20,adult,10000,smote,4,20,ok,metric_tstr_auroc_mean,0.8970940765082576
adult__n10000__tabddpm__seed0__budget20,adult,10000,tabddpm,0,20,ok,metric_tstr_auroc_mean,0.8884897348727155
