dataset,method,crossover_n,n_max,crossover,margins
adult,ctgan,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.3054, ""pair_std"": 0.0528}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.2038, ""pair_std"": 0.0628}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0556, ""pair_std"": 0.0051}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0431, ""pair_std"": 0.0058}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0426, ""pair_std"": 0.002}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0207, ""pair_std"": 0.0027}]"
adult,tvae,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0228, ""pair_std"": 0.0195}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0087, ""pair_std"": 0.0086}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0005, ""pair_std"": 0.0066}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0035, ""pair_std"": 0.003}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0072, ""pair_std"": 0.0048}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0092, ""pair_std"": 0.0016}]"
adult,tabddpm,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0075, ""pair_std"": 0.0137}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0935, ""pair_std"": 0.0841}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0095, ""pair_std"": 0.0052}, {""n"": 2000, ""best_baseline"": ""smote"", ""margin"": -0.0115, ""pair_std"": 0.0043}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0146, ""pair_std"": 0.0031}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.011, ""pair_std"": 0.0018}]"
bank,ctgan,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.1076, ""pair_std"": 0.0562}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.1607, ""pair_std"": 0.0458}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.1879, ""pair_std"": 0.048}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1228, ""pair_std"": 0.0332}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0558, ""pair_std"": 0.008}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0576, ""pair_std"": 0.0152}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0371, ""pair_std"": 0.0078}]"
bank,tvae,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.0081, ""pair_std"": 0.0322}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0254, ""pair_std"": 0.0231}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0113, ""pair_std"": 0.0083}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.031, ""pair_std"": 0.0087}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0214, ""pair_std"": 0.0053}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0297, ""pair_std"": 0.0119}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0361, ""pair_std"": 0.0104}]"
bank,tabddpm,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""smote"", ""margin"": -0.0472, ""pair_std"": 0.0593}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0314, ""pair_std"": 0.0229}, {""n"": 1000, ""best_baseline"": ""smote"", ""margin"": -0.0062, ""pair_std"": 0.0118}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0139, ""pair_std"": 0.0069}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0044, ""pair_std"": 0.005}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.008, ""pair_std"": 0.0047}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0057, ""pair_std"": 0.0045}]"
credit_default,ctgan,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.1613, ""pair_std"": 0.043}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.1901, ""pair_std"": 0.0509}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1656, ""pair_std"": 0.0311}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0813, ""pair_std"": 0.0284}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.032, ""pair_std"": 0.0044}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0315, ""pair_std"": 0.0022}]"
credit_default,tvae,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0454, ""pair_std"": 0.0473}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0068, ""pair_std"": 0.0101}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": 0.0023, ""pair_std"": 0.0071}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0038, ""pair_std"": 0.0036}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0072, ""pair_std"": 0.0042}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0099, ""pair_std"": 0.007}]"
credit_default,tabddpm,,10000,none up to 10000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.1055, ""pair_std"": 0.0523}, {""n"": 500, ""best_baseline"": ""ucsmote"", ""margin"": -0.0995, ""pair_std"": 0.0409}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0387, ""pair_std"": 0.0154}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0529, ""pair_std"": 0.0171}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0326, ""pair_std"": 0.0073}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0284, ""pair_std"": 0.0061}]"
diabetes130,ctgan,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0386, ""pair_std"": 0.0138}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0615, ""pair_std"": 0.0207}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0742, ""pair_std"": 0.0078}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0945, ""pair_std"": 0.0147}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1213, ""pair_std"": 0.0169}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.1248, ""pair_std"": 0.0175}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0938, ""pair_std"": 0.0048}]"
diabetes130,tvae,500.0,20000,500,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": 0.006, ""pair_std"": 0.0169}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": 0.0093, ""pair_std"": 0.0085}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0066, ""pair_std"": 0.0066}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.008, ""pair_std"": 0.009}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0128, ""pair_std"": 0.0068}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0364, ""pair_std"": 0.0154}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0582, ""pair_std"": 0.0172}]"
diabetes130,tabddpm,,20000,none up to 20000,"[{""n"": 200, ""best_baseline"": ""ucsmote"", ""margin"": -0.0358, ""pair_std"": 0.0212}, {""n"": 500, ""best_baseline"": ""smote"", ""margin"": -0.0544, ""pair_std"": 0.0108}, {""n"": 1000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0433, ""pair_std"": 0.0087}, {""n"": 2000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0581, ""pair_std"": 0.0069}, {""n"": 5000, ""best_baseline"": ""ucsmote"", ""margin"": -0.0963, ""pair_std"": 0.0083}, {""n"": 10000, ""best_baseline"": ""ucsmote"", ""margin"": -0.073, ""pair_std"": 0.007}, {""n"": 20000, ""best_baseline"": ""smote"", ""margin"": -0.0917, ""pair_std"": 0.004}]"
