dataset,n_train,top1,top2,gap,pair_std,ratio,inside_noise
adult,200,ucsmote,tabddpm,0.0075,0.0137,0.547,True
adult,500,ucsmote,smote,0.0012,0.0061,0.201,True
adult,1000,smote,ucsmote,0.0004,0.0031,0.115,True
adult,2000,smote,ucsmote,0.0021,0.0035,0.58,True
adult,5000,ucsmote,smote,0.0001,0.0018,0.053,True
adult,10000,ucsmote,smote,0.001,0.0016,0.659,True
bank,200,smote,tvae,0.0081,0.0322,0.253,True
bank,500,ucsmote,smote,0.002,0.018,0.109,True
bank,1000,smote,tabddpm,0.0062,0.0118,0.525,True
bank,2000,ucsmote,smote,0.0095,0.0055,1.726,False
bank,5000,ucsmote,smote,0.0018,0.0079,0.223,True
bank,10000,ucsmote,smote,0.0034,0.0028,1.206,False
bank,20000,smote,ucsmote,0.0007,0.0022,0.305,True
credit_default,200,ucsmote,smote,0.014,0.0187,0.75,True
credit_default,500,ucsmote,tvae,0.0068,0.0101,0.672,True
credit_default,1000,tvae,ucsmote,0.0023,0.0071,0.323,True
credit_default,2000,ucsmote,tvae,0.0038,0.0036,1.06,False
credit_default,5000,ucsmote,smote,0.0044,0.0019,2.292,False
credit_default,10000,ucsmote,smote,0.0025,0.0015,1.658,False
diabetes130,200,tvae,ucsmote,0.006,0.0169,0.353,True
diabetes130,500,tvae,smote,0.0093,0.0085,1.088,False
diabetes130,1000,ucsmote,smote,0.0043,0.008,0.539,True
diabetes130,2000,ucsmote,smote,0.0037,0.0061,0.615,True
diabetes130,5000,ucsmote,smote,0.0025,0.003,0.829,True
diabetes130,10000,ucsmote,smote,0.0029,0.0053,0.541,True
diabetes130,20000,smote,ucsmote,0.0003,0.0027,0.099,True
support2,200,smote,ucsmote,0.0092,0.0108,0.848,True
support2,500,smote,ucsmote,0.0032,0.0101,0.317,True
support2,1000,smote,ucsmote,0.0046,0.0065,0.714,True
support2,2000,smote,ucsmote,0.004,0.0029,1.363,False
support2,5000,smote,ucsmote,0.0033,0.0008,4.037,False
cardio,200,tvae,smote,0.003,0.0115,0.265,True
cardio,500,tvae,smote,0.0057,0.0143,0.397,True
cardio,1000,tvae,ucsmote,0.0032,0.0062,0.515,True
cardio,2000,smote,ucsmote,0.0022,0.0035,0.621,True
cardio,5000,ucsmote,smote,0.0005,0.0012,0.435,True
cardio,10000,ucsmote,smote,0.0008,0.0015,0.565,True
cardio,20000,ucsmote,smote,0.0002,0.0011,0.172,True
stroke,200,smote,ucsmote,0.0209,0.0145,1.447,False
stroke,500,smote,ucsmote,0.027,0.0266,1.012,False
stroke,1000,smote,ucsmote,0.0054,0.0268,0.203,True
stroke,2000,smote,ucsmote,0.0068,0.0145,0.466,True
cdc_diabetes,200,tvae,tabddpm,0.0141,0.0288,0.49,True
cdc_diabetes,500,tvae,tabddpm,0.0029,0.0143,0.204,True
cdc_diabetes,1000,tvae,ucsmote,0.0,0.0139,0.003,True
cdc_diabetes,2000,ucsmote,smote,0.0019,0.0061,0.306,True
cdc_diabetes,5000,ucsmote,smote,0.0002,0.0031,0.078,True
cdc_diabetes,10000,smote,ucsmote,0.0013,0.0021,0.631,True
cdc_diabetes,20000,smote,ucsmote,0.0002,0.0024,0.078,True
pima,460,ucsmote,tvae,0.0008,0.0093,0.09,True
breast_cancer_wisconsin,341,ucsmote,smote,0.0003,0.0036,0.083,True
heart_cleveland,181,tabddpm,ucsmote,0.0007,0.0193,0.037,True
heart_failure,179,tvae,ucsmote,0.0137,0.034,0.403,True
