dataset,n_train,best_baseline,best_deep,best_baseline_auroc,best_deep_auroc,margin,pair_std,baseline_wins,baseline_wins_beyond_noise,deep_missing
adult,200,ucsmote,tabddpm,0.8415,0.834,0.0075,0.0137,True,False,False
adult,500,ucsmote,tvae,0.8644,0.8557,0.0087,0.0086,True,True,False
adult,1000,smote,tvae,0.8753,0.8748,0.0005,0.0066,True,False,False
adult,2000,smote,tvae,0.8869,0.8833,0.0035,0.003,True,True,False
adult,5000,ucsmote,tvae,0.895,0.8878,0.0072,0.0048,True,True,False
adult,10000,ucsmote,tvae,0.8987,0.8895,0.0092,0.0016,True,True,False
bank,200,smote,tvae,0.6543,0.6461,0.0081,0.0322,True,False,False
bank,500,ucsmote,tvae,0.6954,0.6701,0.0254,0.0231,True,True,False
bank,1000,smote,tabddpm,0.7233,0.7171,0.0062,0.0118,True,False,False
bank,2000,ucsmote,tabddpm,0.7432,0.7293,0.0139,0.0069,True,True,False
bank,5000,ucsmote,tabddpm,0.7548,0.7504,0.0044,0.005,True,False,False
bank,10000,ucsmote,tabddpm,0.7653,0.7574,0.008,0.0047,True,True,False
bank,20000,smote,tabddpm,0.7719,0.7662,0.0057,0.0045,True,True,False
credit_default,200,ucsmote,tvae,0.7112,0.6658,0.0454,0.0473,True,False,False
credit_default,500,ucsmote,tvae,0.7227,0.7159,0.0068,0.0101,True,False,False
credit_default,1000,ucsmote,tvae,0.7272,0.7295,-0.0023,0.0071,False,False,False
credit_default,2000,ucsmote,tvae,0.7341,0.7303,0.0038,0.0036,True,True,False
credit_default,5000,ucsmote,tvae,0.7445,0.7373,0.0072,0.0042,True,True,False
credit_default,10000,ucsmote,tvae,0.7471,0.7372,0.0099,0.007,True,True,False
diabetes130,200,ucsmote,tvae,0.5443,0.5502,-0.006,0.0169,False,False,False
diabetes130,500,smote,tvae,0.5661,0.5754,-0.0093,0.0085,False,False,False
diabetes130,1000,ucsmote,tvae,0.5874,0.5808,0.0066,0.0066,True,True,False
diabetes130,2000,ucsmote,tvae,0.6046,0.5966,0.008,0.009,True,False,False
diabetes130,5000,ucsmote,tvae,0.6222,0.6094,0.0128,0.0068,True,True,False
diabetes130,10000,ucsmote,tvae,0.6372,0.6008,0.0364,0.0154,True,True,False
diabetes130,20000,smote,tvae,0.6468,0.5885,0.0582,0.0172,True,True,False
support2,200,smote,tvae,0.8989,0.871,0.028,0.0212,True,True,False
support2,500,smote,tvae,0.9128,0.882,0.0308,0.017,True,True,False
support2,1000,smote,tvae,0.9223,0.9142,0.0081,0.0069,True,True,False
support2,2000,smote,tvae,0.9317,0.9151,0.0166,0.0043,True,True,False
support2,5000,smote,tvae,0.9398,0.9246,0.0152,0.0017,True,True,False
cardio,200,smote,tvae,0.7512,0.7542,-0.003,0.0115,False,False,False
cardio,500,smote,tvae,0.7563,0.762,-0.0057,0.0143,False,False,False
cardio,1000,ucsmote,tvae,0.7703,0.7735,-0.0032,0.0062,False,False,False
cardio,2000,smote,tvae,0.7795,0.7686,0.0108,0.006,True,True,False
cardio,5000,ucsmote,tabddpm,0.7841,0.7732,0.011,0.011,True,False,False
cardio,10000,ucsmote,tabddpm,0.7882,0.7698,0.0184,0.012,True,True,False
cardio,20000,ucsmote,ctgan,0.7898,0.7699,0.0199,0.0057,True,True,False
stroke,200,smote,tabddpm,0.7631,0.6602,0.1029,0.0512,True,True,False
stroke,500,smote,tabddpm,0.7884,0.7447,0.0437,0.0324,True,True,False
stroke,1000,smote,tvae,0.7916,0.7762,0.0154,0.0246,True,False,False
stroke,2000,smote,tabddpm,0.809,0.7894,0.0196,0.0154,True,True,False
cdc_diabetes,200,smote,tvae,0.7395,0.7549,-0.0155,0.0165,False,False,False
cdc_diabetes,500,smote,tvae,0.7637,0.7694,-0.0057,0.0117,False,False,False
cdc_diabetes,1000,ucsmote,tvae,0.7744,0.7745,-0.0,0.0139,False,False,False
cdc_diabetes,2000,ucsmote,tabddpm,0.7884,0.7825,0.0058,0.0059,True,False,False
cdc_diabetes,5000,ucsmote,tabddpm,0.7973,0.7949,0.0024,0.0035,True,False,False
cdc_diabetes,10000,smote,tabddpm,0.8022,0.8,0.0022,0.001,True,True,False
cdc_diabetes,20000,smote,tabddpm,0.8069,0.8048,0.0021,0.0016,True,True,False
