dataset,n_lo,n_hi,tau_all7,tau_deep3,missing_methods
adult,200,500,0.8095,0.3333,0
adult,500,1000,0.8095,1.0,0
adult,1000,2000,1.0,1.0,0
adult,2000,5000,0.9048,1.0,0
adult,5000,10000,1.0,1.0,0
bank,200,500,0.8095,1.0,0
bank,500,1000,0.7143,0.3333,0
bank,1000,2000,0.7143,1.0,0
bank,2000,5000,1.0,1.0,0
bank,5000,10000,1.0,1.0,0
bank,10000,20000,0.9048,1.0,0
credit_default,200,500,0.9048,1.0,0
credit_default,500,1000,0.8095,1.0,0
credit_default,1000,2000,0.9048,1.0,0
credit_default,2000,5000,0.7143,0.3333,0
credit_default,5000,10000,0.9048,0.3333,0
diabetes130,200,500,0.619,1.0,0
diabetes130,500,1000,0.3333,1.0,0
diabetes130,1000,2000,1.0,1.0,0
diabetes130,2000,5000,0.8095,1.0,0
diabetes130,5000,10000,0.8095,1.0,0
diabetes130,10000,20000,0.8095,1.0,0
support2,200,500,1.0,1.0,0
support2,500,1000,1.0,1.0,0
support2,1000,2000,0.8095,0.3333,0
support2,2000,5000,0.8095,0.3333,0
cardio,200,500,1.0,1.0,0
cardio,500,1000,0.9048,1.0,0
cardio,1000,2000,0.619,1.0,0
cardio,2000,5000,0.8095,0.3333,0
cardio,5000,10000,0.9048,0.3333,0
cardio,10000,20000,0.9048,0.3333,0
stroke,200,500,1.0,1.0,0
stroke,500,1000,0.8095,0.3333,0
stroke,1000,2000,0.9048,0.3333,0
cdc_diabetes,200,500,0.9048,1.0,0
cdc_diabetes,500,1000,0.7143,1.0,0
cdc_diabetes,1000,2000,0.5238,0.3333,0
cdc_diabetes,2000,5000,1.0,1.0,0
cdc_diabetes,5000,10000,0.9048,1.0,0
cdc_diabetes,10000,20000,0.9048,0.3333,0
