small_dataset,n_true,matched_rung,ladder_dataset,tau,missing_methods
pima,460,500,adult,0.8095,0
pima,460,500,bank,0.8095,0
pima,460,500,credit_default,0.8095,0
pima,460,500,diabetes130,0.3333,0
pima,460,500,support2,0.619,0
pima,460,500,cardio,0.7143,0
pima,460,500,stroke,0.619,0
pima,460,500,cdc_diabetes,0.4286,0
breast_cancer_wisconsin,341,200,adult,0.7143,0
breast_cancer_wisconsin,341,200,bank,0.7143,0
breast_cancer_wisconsin,341,200,credit_default,0.8095,0
breast_cancer_wisconsin,341,200,diabetes130,0.619,0
breast_cancer_wisconsin,341,200,support2,0.7143,0
breast_cancer_wisconsin,341,200,cardio,0.619,0
breast_cancer_wisconsin,341,200,stroke,0.7143,0
breast_cancer_wisconsin,341,200,cdc_diabetes,0.2381,0
heart_cleveland,181,200,adult,0.9048,0
heart_cleveland,181,200,bank,0.5238,0
heart_cleveland,181,200,credit_default,0.619,0
heart_cleveland,181,200,diabetes130,0.4286,0
heart_cleveland,181,200,support2,0.5238,0
heart_cleveland,181,200,cardio,0.4286,0
heart_cleveland,181,200,stroke,0.7143,0
heart_cleveland,181,200,cdc_diabetes,0.4286,0
heart_failure,179,200,adult,0.5238,0
heart_failure,179,200,bank,0.7143,0
heart_failure,179,200,credit_default,0.619,0
heart_failure,179,200,diabetes130,0.8095,0
heart_failure,179,200,support2,0.5238,0
heart_failure,179,200,cardio,0.8095,0
heart_failure,179,200,stroke,0.5238,0
heart_failure,179,200,cdc_diabetes,0.619,0
